Label,Accession,Title,Sample_title,Sample_geo_accession,Sample_source_name_ch1,Sample_characteristics_ch1,Sample_characteristics_ch1.1,Sample_characteristics_ch1.2,Sample_description,ID_REF
1,GSM1881784,"H1N1 DEE3 Subject 3, Hour -21",H1N1.DEE3.Subject.3..Hour..21,GSM1881784,"peripheral blood of H1N1 DEE3 subject 3, hour -21",virus: H1N1,time point: hour -21,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_41,GSM1881784
1,GSM1881785,"H1N1 DEE3 Subject 3, Hour 0",H1N1.DEE3.Subject.3..Hour.0,GSM1881785,"peripheral blood of H1N1 DEE3 subject 3, hour 0",virus: H1N1,time point: hour 0,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_42,GSM1881785
3,GSM1881786,"H1N1 DEE3 Subject 3, Hour 5",H1N1.DEE3.Subject.3..Hour.5,GSM1881786,"peripheral blood of H1N1 DEE3 subject 3, hour 5",virus: H1N1,time point: hour 5,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_43,GSM1881786
3,GSM1881787,"H1N1 DEE3 Subject 3, Hour 12",H1N1.DEE3.Subject.3..Hour.12,GSM1881787,"peripheral blood of H1N1 DEE3 subject 3, hour 12",virus: H1N1,time point: hour 12,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_44,GSM1881787
3,GSM1881788,"H1N1 DEE3 Subject 3, Hour 21",H1N1.DEE3.Subject.3..Hour.21,GSM1881788,"peripheral blood of H1N1 DEE3 subject 3, hour 21",virus: H1N1,time point: hour 21,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_45,GSM1881788
3,GSM1881789,"H1N1 DEE3 Subject 3, Hour 29",H1N1.DEE3.Subject.3..Hour.29,GSM1881789,"peripheral blood of H1N1 DEE3 subject 3, hour 29",virus: H1N1,time point: hour 29,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_46,GSM1881789
3,GSM1881790,"H1N1 DEE3 Subject 3, Hour 36",H1N1.DEE3.Subject.3..Hour.36,GSM1881790,"peripheral blood of H1N1 DEE3 subject 3, hour 36",virus: H1N1,time point: hour 36,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_47,GSM1881790
3,GSM1881791,"H1N1 DEE3 Subject 3, Hour 45",H1N1.DEE3.Subject.3..Hour.45,GSM1881791,"peripheral blood of H1N1 DEE3 subject 3, hour 45",virus: H1N1,time point: hour 45,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_48,GSM1881791
3,GSM1881792,"H1N1 DEE3 Subject 3, Hour 53",H1N1.DEE3.Subject.3..Hour.53,GSM1881792,"peripheral blood of H1N1 DEE3 subject 3, hour 53",virus: H1N1,time point: hour 53,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_49,GSM1881792
3,GSM1881793,"H1N1 DEE3 Subject 3, Hour 60",H1N1.DEE3.Subject.3..Hour.60,GSM1881793,"peripheral blood of H1N1 DEE3 subject 3, hour 60",virus: H1N1,time point: hour 60,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_50,GSM1881793
3,GSM1881794,"H1N1 DEE3 Subject 3, Hour 69",H1N1.DEE3.Subject.3..Hour.69,GSM1881794,"peripheral blood of H1N1 DEE3 subject 3, hour 69",virus: H1N1,time point: hour 69,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_51,GSM1881794
3,GSM1881795,"H1N1 DEE3 Subject 3, Hour 77",H1N1.DEE3.Subject.3..Hour.77,GSM1881795,"peripheral blood of H1N1 DEE3 subject 3, hour 77",virus: H1N1,time point: hour 77,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_52,GSM1881795
3,GSM1881796,"H1N1 DEE3 Subject 3, Hour 84",H1N1.DEE3.Subject.3..Hour.84,GSM1881796,"peripheral blood of H1N1 DEE3 subject 3, hour 84",virus: H1N1,time point: hour 84,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_53,GSM1881796
